FOVId,ge_wellID,well_position,fov_path,microscope,image_date,probe488,probe546,probe647,plate_name,cell_line,cell_age,notes
1078,103,C4,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 1,3i,2019-08-07,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18,
1079,103,C4,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 10,3i,2019-08-07,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18,
1080,103,C4,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 11,3i,2019-08-07,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18,
1081,103,C4,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 12,3i,2019-08-07,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18,
1082,103,C4,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 13,3i,2019-08-07,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18,
1083,103,C4,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 14,3i,2019-08-07,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18,
1084,103,C4,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 15,3i,2019-08-07,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18,
1085,103,C4,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 16,3i,2019-08-07,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18,
1086,103,C4,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 17,3i,2019-08-07,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18,
1087,103,C4,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 18,3i,2019-08-07,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18,
1088,103,C4,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 19,3i,2019-08-07,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18,
1089,103,C4,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_002_Capture 1 - Capture 1 - C4 [144] Montage - 2,3i,2019-08-07,,TCAP-B3,BAG3-B4,5500000013,AICS-75,18,
