,cell_num,file_name,probe_561_loc_score,probe_638_loc_score
234,11,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell11.jpg,n,0
235,12,5500000013_63X_20190807_S1_P6_B3_annotations_corrected.Actn2_cell12.jpg,0,0
236,1,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell1.jpg,,
237,2,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell2.jpg,,
238,3,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell3.jpg,,
239,4,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell4.jpg,,
240,5,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell5.jpg,,
241,6,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell6.jpg,,
242,7,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell7.jpg,,
243,8,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell8.jpg,,
244,9,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell9.jpg,,
245,10,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell10.jpg,,
246,11,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell11.jpg,,
247,12,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell12.jpg,,
248,13,5500000013_63X_20190807_S1_P6_B4_annotations_corrected.Actn2_cell13.jpg,,
249,1,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell1.jpg,,
250,2,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell2.jpg,,
251,3,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell3.jpg,,
252,4,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell4.jpg,,
253,5,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell5.jpg,,
254,6,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell6.jpg,,
255,7,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell7.jpg,,
256,8,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell8.jpg,,
257,9,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell9.jpg,,
258,10,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell10.jpg,,
259,11,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell11.jpg,,
260,12,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell12.jpg,,
261,13,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell13.jpg,,
262,14,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell14.jpg,,
263,15,5500000013_63X_20190807_S1_P6_B5_annotations_corrected.Actn2_cell15.jpg,,
264,1,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell1.jpg,,
265,2,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell2.jpg,,
266,3,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell3.jpg,,
267,4,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell4.jpg,,
268,5,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell5.jpg,,
269,6,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell6.jpg,,
270,7,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell7.jpg,,
271,8,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell8.jpg,,
272,9,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell9.jpg,,
273,10,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell10.jpg,,
274,11,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell11.jpg,,
275,12,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell12.jpg,,
276,13,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell13.jpg,,
277,14,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell14.jpg,,
278,15,5500000013_63X_20190807_S1_P7_B2_annotations_corrected.Actn2_cell15.jpg,,
279,1,5500000013_63X_20190807_S1_P7_B3_annotations_corrected.Actn2_cell1.jpg,0,0
280,2,5500000013_63X_20190807_S1_P7_B3_annotations_corrected.Actn2_cell2.jpg,0,0
281,3,5500000013_63X_20190807_S1_P7_B3_annotations_corrected.Actn2_cell3.jpg,2,0
282,4,5500000013_63X_20190807_S1_P7_B3_annotations_corrected.Actn2_cell4.jpg,0,2
283,5,5500000013_63X_20190807_S1_P7_B3_annotations_corrected.Actn2_cell5.jpg,0,0
284,6,5500000013_63X_20190807_S1_P7_B3_annotations_corrected.Actn2_cell6.jpg,n,2
